email,hash,sum,hw01,hw02,xgboost_params,gb_impl,logistic_regression,ad_budget,text_classification_params,significance
se***************1,5e24a92188c9e8534b6597689048c372,10.72,1.0,2.83,1.0,1.013,2.33,1.06,1.0,0.49
za****v,97292fb8b09c8d42e48bba7e6d289135,10.7,1.0,2.83,1.02,1.003,2.43,0.84,1.06,0.52
ar********n,384a3d15811b6427b47331ff7655bb67,10.66,1.0,2.83,1.0,1.022,2.35,0.97,1.0,0.49
pa****l,12ebd028093a1d4814d247bf9bfec70f,10.56,1.0,2.83,1.0,1.013,2.17,1.06,1.0,0.49
d.*******y,87341009e3e65887a315952aef3cce9d,10.22,1.0,2.66,1.01,1.012,2.3,1.15,1.04,0.05
pa*****2,aa23231705397b774b6ca503841a3905,10.01,1.0,2.91,1.02,1.019,2.25,0.44,0.88,0.49
ed*****8,d6b15a06ce2d9bbd9c505a1d4deace0e,9.96,1.0,3.0,1.01,1.002,2.33,0.12,,1.5
ma****8,fa1b778b2242319739278ae63f063707,9.71,1.0,2.83,,0.988,2.34,0.97,1.09,0.49
ir*******a,225791f8bafa53e61db9bf6a070745f2,9.65,1.0,2.91,0.99,1.02,2.44,0.05,0.72,0.52
sh******l,59a01aa97a78fff3d641028965f455ce,9.6,1.0,3.0,1.01,1.006,2.37,0.06,1.1,0.05
ge**********v,a35551b263c8214d7c333693d68a42f5,9.55,1.0,2.66,0.97,0.963,2.31,0.16,1.0,0.49
ig***********v,e18a274fb82e6e1162141a39733d7f48,9.48,1.0,2.14,1.01,1.016,2.14,1.15,0.97,0.05
sa*********y,4cc1b9d23906107c35d785b444e48d21,9.42,1.0,2.66,1.04,0.98,2.43,0.27,1.04,
ma*****a,aaee3d8c2e6c973b7fb72bb43643947e,9.31,1.0,2.31,1.0,0.931,2.34,0.61,1.07,0.05
em********v,3bc2f2fbaad8c6922f13a7078dd49fdc,9.25,1.0,3.0,1.01,1.002,2.21,,1.03,
su************a,5bee9dae596f234ab3a5e69bb03764cf,9.16,1.0,2.66,1.03,1.01,2.4,0.05,1.01,
ko********0,0b1b138ea0e2394b39afa3b3212daf8f,9.16,1.0,2.66,1.03,1.01,2.4,0.05,1.01,
